model,linear_type,tp_size,dtype,M,K,N,onednn_geomean_ms,onednn_min_ms,onednn_max_ms,onednn_tflops,sgl_geomean_ms,sgl_min_ms,sgl_max_ms,sgl_tflops,sgl_skipped_reason,speedup_onednn_over_sgl,winner,arithmetic_intensity_flops_per_byte
GLM-5.2-FP8,down,1,bf16,1,10944,4096,0.19207638179692166,0.1914895,0.19246649999999998,0.46675831334009876,0.18215047397402082,0.18175950000000002,0.182588,0.49219332809854105,,0.9483231216142165,sgl,0.9996645976384819
GLM-5.2-FP8,down,1,bf16,8,10944,4096,0.20758217075822613,0.2063145,0.209117,3.455142517202805,0.19923391479357544,0.1976895,0.200649,3.599919144002725,,0.9597833670678103,sgl,7.978584528460934
GLM-5.2-FP8,down,1,bf16,16,10944,4096,0.2217971397438729,0.22077,0.2226745,6.467405168779353,0.213396774807508,0.21149099999999998,0.21552300000000002,6.721994600405419,,0.9621259095312703,sgl,15.914566812842244
GLM-5.2-FP8,down,1,bf16,32,10944,4096,0.24633502812226404,0.244199,0.247532,11.646349923795938,0.23610373138209192,0.2354445,0.2366715,12.151031748656225,,0.9584659282191326,sgl,31.6600822673236
GLM-5.2-FP8,down,1,bf16,64,10944,4096,0.40142337483449086,0.39973899999999996,0.40258700000000003,14.293656602248763,0.44890824452602984,0.4473425,0.4530835,12.781694125618348,,1.1182912422853235,onednn,62.65462027014939
GLM-5.2-FP8,down,1,bf16,128,10944,4096,0.5660928725809609,0.563936,0.5679535,20.271613192513374,0.9029965009117401,0.9014995,0.9040874999999999,12.708372327482186,,1.5951384386712912,onednn,122.72927983178553
GLM-5.2-FP8,down,1,bf16,256,10944,4096,0.8819335211844485,0.880414,0.8843775,26.023765892440725,1.597547552252645,1.5763444999999998,1.6238315,14.366540423561906,,1.8114149353424251,onednn,235.7509256142713
GLM-5.2-FP8,down,1,bf16,512,10944,4096,1.558599662253631,1.554767,1.569048,29.451092597843957,2.9342974157665975,2.908401,2.9894214999999997,15.643425485554534,,1.8826498470580955,onednn,436.9407361197754
GLM-5.2-FP8,down,1,bf16,1024,10944,4096,3.2136672626954095,3.1964425,3.246149,28.56702901936405,5.48023213255843,5.452217,5.516074,16.75201409928983,,1.7052892177648713,onednn,762.1501632208923
GLM-5.2-FP8,down,1,bf16,2048,10944,4096,5.39071436964141,5.37959,5.402397000000001,34.06039335677392,11.087573087120013,11.0295025,11.165726,16.559967673835867,,2.056791053438351,onednn,1213.892547660312
